Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

154.43999542	0.00439467	0.00384533	-0.00268563	0.14929660
154.44799542	-0.00091556	0.01300089	0.00347911	0.14630570
154.45599542	0.00354015	0.00738548	0.00170904	0.14868620
154.46399542	0.00354015	0.00292978	-0.00445570	0.15436260
154.47199542	-0.00061037	0.00915555	0.00500504	0.14868620
154.47999542	-0.00238044	0.00885037	-0.00030519	0.15375230
154.48799542	-0.00268563	0.01092563	-0.00091556	0.15106660
154.49599542	-0.00238044	0.01214637	0.00231941	0.15106660
154.50399542	0.00115970	0.01092563	0.00347911	0.15167700
154.51199542	0.00115970	0.00592059	-0.00061037	0.14813680
154.51999542	-0.00238044	0.00915555	-0.01007111	0.14929660
154.52799542	0.00384533	0.01275674	-0.00207526	0.15137180
154.53599542	-0.00598163	0.00799585	0.00085452	0.14960170
154.54399542	0.00000000	0.00830104	-0.00860622	0.15436260
154.55199542	-0.00567644	0.01422163	-0.00329600	0.15137180
154.55999542	0.00469985	0.00799585	-0.00207526	0.15253150
154.56799542	0.00292978	0.01361126	-0.01184118	0.15582750
154.57599542	-0.00061037	0.01422163	-0.00091556	0.15253150
154.58399541	0.00177007	0.00500504	0.00585955	0.15283670
154.59199541	-0.00091556	0.01153600	-0.00152593	0.15253150
154.59999541	-0.00091556	0.01153600	-0.00268563	0.14838100
154.60799541	-0.00061037	0.00976592	0.00054933	0.15405740
154.61599541	0.00146489	0.01184118	-0.00091556	0.14606160
154.62399541	0.00262459	0.01037629	-0.00091556	0.15552230
154.63199541	0.00000000	0.00592059	0.00909452	0.15021210
154.63999541	0.00000000	0.00854518	-0.00329600	0.15375230
154.64799541	0.00054933	0.00561541	-0.00592059	0.15375230
154.65599541	-0.00390637	0.00885037	-0.00238044	0.15021210
154.66399541	0.00146489	0.01245155	-0.00177007	0.15436260
154.67199541	-0.00268563	0.00469985	-0.00299081	0.14630570
154.67999541	-0.00299081	0.01483200	-0.00152593	0.14813680
154.68799541	0.00323496	0.00976592	-0.00354015	0.14960170
154.69599541	0.00177007	0.00439467	-0.00384533	0.14868620
154.70399541	0.00262459	0.00830104	-0.00415052	0.14990690
154.71199541	0.00262459	0.00561541	-0.00506607	0.15137180
154.71999541	0.00677511	0.00946074	0.00323496	0.15228740
154.72799541	0.00561541	0.01391644	-0.00683615	0.15167700
154.73599541	0.00262459	0.00646992	-0.00915555	0.15021210
154.74399541	-0.00183111	0.01068148	-0.00354015	0.15021210
154.75199541	-0.00329600	0.01330607	-0.00268563	0.15375230
154.75999541	0.00177007	0.01452681	-0.00207526	0.15167700
154.76799541	-0.00122074	0.00622578	-0.00476089	0.15851310
154.77599541	-0.00152593	0.01184118	-0.00207526	0.15137180
154.78399541	0.00054933	0.00677511	0.00616474	0.14868620
154.79199541	0.00207526	0.01037629	-0.00122074	0.15613270
154.79999541	0.00177007	0.00976592	-0.00207526	0.14929660
154.80799541	0.00024415	0.00531022	-0.00207526	0.15790280
154.81599541	0.00231941	0.01092563	-0.00476089	0.14813680
154.82399541	0.00677511	0.00708029	-0.00769066	0.15375230
154.83199541	0.00000000	0.01245155	-0.00830104	0.14630570
154.83999541	0.00115970	0.00799585	0.00115970	0.15552230
154.84799541	-0.00238044	0.00976592	-0.01239051	0.15460680
154.85599541	0.00146489	0.00854518	-0.00122074	0.14868620
154.86399541	-0.00360118	0.00915555	-0.00860622	0.15460680
154.87199541	0.00622578	0.01123081	-0.00384533	0.15405740
154.87999541	0.00262459	0.00946074	-0.00030519	0.14838100
154.88799541	-0.00714133	0.00946074	0.00000000	0.14990690
154.89599541	0.00177007	0.01123081	-0.00207526	0.15228740
154.90399541	0.00177007	0.00646992	-0.00769066	0.15460680
154.91199541	0.00292978	0.01153600	-0.00061037	0.15167700
154.91999541	-0.00122074	0.00915555	0.00677511	0.15405740
154.92799541	0.00622578	0.01568651	-0.00299081	0.14868620
154.93599540	0.00085452	0.00439467	-0.00885037	0.15314190
154.94399540	0.00054933	0.01300089	-0.00445570	0.14691610
154.95199540	-0.00152593	0.00769066	-0.00506607	0.14606160
154.95999540	-0.00744652	0.01538133	-0.00561541	0.15253150
154.96799540	0.00115970	0.01745659	-0.00531022	0.15314190
154.97599540	0.00146489	0.01153600	-0.00207526	0.14929660
154.98399540	0.00561541	0.01123081	-0.00415052	0.15076140
154.99199540	-0.00268563	0.01068148	-0.00445570	0.15643790
154.99999540	-0.00030519	0.01690725	-0.00238044	0.15021210
155.00799540	-0.00598163	0.00946074	-0.00329600	0.15228740
155.01599540	0.00292978	0.00915555	-0.00238044	0.14307080
155.02399540	0.00231941	0.01300089	0.00115970	0.14813680
155.03199540	0.00292978	0.00561541	-0.00354015	0.15460680
155.03999540	0.00054933	0.01422163	-0.00299081	0.15021210
155.04799540	-0.00091556	0.01037629	0.00677511	0.15167700
155.05599540	-0.00329600	0.00738548	-0.00445570	0.15436260
155.06399540	-0.00421155	0.01507614	-0.00152593	0.15106660
155.07199540	0.00439467	0.01391644	-0.00384533	0.14691610
155.07999540	0.00146489	0.00769066	-0.00061037	0.15076140
155.08799540	-0.00213630	0.01806696	-0.00354015	0.14960170
155.09599540	-0.00238044	0.01483200	0.00646992	0.15314190
155.10399540	0.00054933	0.00531022	-0.00091556	0.15076140
155.11199540	-0.00122074	0.01092563	0.00054933	0.14868620
155.11999540	-0.00329600	0.01391644	0.00292978	0.14752650
155.12799540	-0.00122074	0.01275674	-0.00152593	0.15314190
155.13599540	0.00207526	0.01007111	-0.00061037	0.15283670
155.14399540	0.00677511	0.00854518	0.00292978	0.15405740
155.15199540	0.00231941	0.00885037	0.00469985	0.14868620
155.15999540	0.00024415	0.01898251	-0.00030519	0.14752650
155.16799540	0.00415052	0.00976592	0.00323496	0.15198220
155.17599540	-0.00122074	0.01300089	0.00054933	0.15021210
155.18399540	-0.00329600	0.01483200	0.00054933	0.14783170
155.19199540	0.00323496	0.01538133	0.00000000	0.14661090
155.19999540	0.00323496	0.01361126	-0.00238044	0.14783170
155.20799540	-0.00061037	0.01214637	-0.00531022	0.14838100
155.21599540	-0.00122074	0.01330607	-0.00769066	0.14752650
155.22399540	0.00146489	0.00592059	-0.00122074	0.14514600
155.23199540	-0.00152593	0.00915555	0.00024415	0.14307080
155.23999540	-0.00122074	0.01245155	-0.00506607	0.15045620
155.24799540	0.00231941	0.01123081	-0.00238044	0.15253150
155.25599540	-0.00213630	0.01092563	-0.00683615	0.15045620
155.26399540	0.00000000	0.00708029	-0.00476089	0.14484090
